timestamp,amount,currency,description,category,balance_after
2024-01-01T08:30:00Z,-5.50,USD,STARBUCKS #1234,Food & Dining,1250.50
2024-01-01T12:15:00Z,-45.99,USD,AMAZON.COM,Shopping,1204.51
2024-01-02T09:00:00Z,-120.00,USD,WHOLE FOODS MARKET,Groceries,1084.51
2024-01-02T18:30:00+00:00,-25.00,USD,UBER TRIP,Transportation,1059.51
2024-01-03T10:00:00,3000.00,USD,SALARY DEPOSIT,Income,4059.51
2024-01-03 14:20:00,-150.00,USD,ELECTRIC BILL,Utilities,3909.51
2024-01-04T07:45:00Z,-8.75,USD,DUNKIN DONUTS,Food & Dining,3900.76
2024-01-04T19:00:00Z,-75.00,USD,NETFLIX SUBSCRIPTION,Entertainment,3825.76
2024-01-05T11:30:00Z,-200.00,USD,GAS STATION,Transportation,3625.76
2024-01-06T13:00:00Z,-89.99,USD,APPLE STORE,Shopping,3535.77
2024-01-07T09:15:00Z,-6.25,USD,COFFEE SHOP,Food & Dining,3529.52
2024-01-08T16:45:00Z,-500.00,USD,RENT PAYMENT,Housing,3029.52
2024-01-09T10:00:00Z,-15.50,USD,LUNCH RESTAURANT,Food & Dining,3014.02
2024-01-10T08:00:00Z,-4.99,USD,SPOTIFY PREMIUM,Entertainment,3009.03
2024-01-11T12:00:00Z,-95.00,USD,PHARMACY,Healthcare,2914.03
